Name	ID	NumGenes	ROC	Pvalue	CorrectedPvalue	Same as	GeneMembers
neuron part	GO:0097458	769	0.60427863	0.00E+000	0.00E+000		
synaptic transmission	GO:0007268	441	0.66222327	0.00E+000	0.00E+000		
cell-cell signaling	GO:0007267	726	0.60051897	0.00E+000	0.00E+000		
cell junction	GO:0030054	677	0.60138315	0.00E+000	0.00E+000		
ion channel complex	GO:0034702	217	0.68524275	0.00E+000	0.00E+000		
neuron projection	GO:0043005	583	0.61296673	0.00E+000	0.00E+000		
synapse part	GO:0044456	328	0.66350385	0.00E+000	0.00E+000		
synapse	GO:0045202	454	0.65032136	0.00E+000	0.00E+000		
synaptic membrane	GO:0097060	194	0.67744862	0.00E+000	0.00E+000		
transmembrane transporter complex	GO:1902495	239	0.67643588	0.00E+000	0.00E+000		
transporter complex	GO:1990351	242	0.67769727	0.00E+000	0.00E+000		
postsynapse	GO:0098794	197	0.67124342	5.55E-017	2.23E-014		
postsynaptic membrane	GO:0045211	166	0.68299407	2.22E-016	8.23E-014		
cell projection organization	GO:0030030	726	0.58567113	2.67E-015	9.17E-013		
cation channel complex	GO:0034703	122	0.7046422	3.05E-015	9.81E-013		
ion transport	GO:0006811	861	0.57728834	1.02E-014	3.08E-012		
generation of neurons	GO:0048699	997	0.56888581	1.41E-013	3.99E-011		
somatodendritic compartment	GO:0036477	414	0.60482524	1.49E-013	4.00E-011		
neuron development	GO:0048666	615	0.58450801	5.29E-013	1.34E-010		
neuron differentiation	GO:0030182	755	0.57524924	1.31E-012	3.17E-010		
cell projection part	GO:0044463	526	0.58944352	1.36E-012	3.12E-010		
regulation of ion transport	GO:0043269	290	0.61909756	1.66E-012	3.64E-010		
neuron projection development	GO:0031175	520	0.58948446	1.75E-012	3.66E-010		
cell projection morphogenesis	GO:0048858	540	0.58700643	2.83E-012	5.68E-010		
cell part morphogenesis	GO:0032990	552	0.58588275	3.18E-012	6.12E-010		
neuron projection morphogenesis	GO:0048812	434	0.59619073	3.71E-012	6.87E-010		
metal ion transport	GO:0030001	399	0.59980531	4.50E-012	8.02E-010		
cation transport	GO:0006812	522	0.58727705	5.34E-012	9.18E-010		
dendrite	GO:0030425	285	0.6164445	7.37E-012	1.23E-009		
G-protein coupled receptor signaling pathway	GO:0007186	499	0.58702168	1.67E-011	2.68E-009		
cell morphogenesis involved in neuron differentiation	GO:0048667	424	0.59384176	1.96E-011	3.05E-009		
regulation of system process	GO:0044057	304	0.6103876	1.98E-011	2.99E-009		
axon development	GO:0061564	406	0.5958043	2.00E-011	2.92E-009		
plasma membrane protein complex	GO:0098797	399	0.59618936	2.44E-011	3.46E-009		
axon	GO:0030424	228	0.62399195	5.96E-011	8.20E-009		
axonogenesis	GO:0007409	393	0.59353541	1.10E-010	1.48E-008		
potassium channel complex	GO:0034705	62	0.72291101	2.16E-010	2.81E-008		
organonitrogen compound biosynthetic process	GO:1901566	484	0.58311902	2.18E-010	2.76E-008		
voltage-gated potassium channel complex	GO:0008076	61	0.72253	3.19E-010	3.95E-008		
ion transmembrane transport	GO:0034220	381	0.5899515	9.20E-010	1.11E-007		
cell morphogenesis	GO:0000902	679	0.56773751	1.07E-009	1.26E-007		
membrane protein complex	GO:0098796	786	0.56285218	1.29E-009	1.48E-007		
