Name	ID	NumProbes	NumGenes	ROC	Pval	CorrectedPvalue	Same as	GeneMembers
detection of chemical stimulus involved in sensory perception of smell	GO:0050911	29	29	0.75022217	6.65E-007	3.20E-003		
intermediate filament cytoskeleton	GO:0045111	187	187	0.60140211	8.94E-007	2.15E-003		
intermediate filament	GO:0005882	149	149	0.61293594	9.99E-007	1.60E-003		
mRNA processing	GO:0006397	296	292	0.57949567	1.55E-006	1.87E-003		
defense response to other organism	GO:0098542	244	244	0.58294101	4.20E-006	4.05E-003		
keratin filament	GO:0045095	75	75	0.64517941	6.95E-006	5.58E-003		
detection of chemical stimulus involved in sensory perception	GO:0050907	56	56	0.66267993	1.02E-005	7.02E-003		
RNA processing	GO:0006396	486	482	0.5561632	1.29E-005	7.75E-003		
defense response to bacterium	GO:0042742	126	126	0.60735104	1.60E-005	8.59E-003		
natural killer cell activation involved in immune response	GO:0002323	14	14	0.80295656	1.69E-005	8.12E-003		
spliceosomal complex	GO:0005681	116	114	0.60081797	1.01E-004	0.04434864		
lymphocyte activation involved in immune response	GO:0002285	61	60	0.63688265	1.11E-004	0.0446946		
somatic diversification of immunoglobulins	GO:0016445	27	26	0.70260618	1.33E-004	0.04921983		
regulation of peptidyl-serine phosphorylation of STAT protein	GO:0033139	12	12	0.78231323	2.06E-004	0.07077055	GO:0033141|positive regulation of peptidyl-serine phosphorylation of STAT protein, 	
positive regulation of peptidyl-serine phosphorylation of STAT protein	GO:0033141	12	12	0.78231323	2.06E-004	0.07077055	GO:0033139|regulation of peptidyl-serine phosphorylation of STAT protein, 	
sensory perception of chemical stimulus	GO:0007606	108	108	0.59804081	2.18E-004	0.06988899		
sensory perception of smell	GO:0007608	53	53	0.63839809	2.25E-004	0.0675957		
nuclear speck	GO:0016607	136	134	0.5873274	2.44E-004	0.06910126		
regulation of MHC class I biosynthetic process	GO:0045343	13	13	0.76634872	2.83E-004	0.07567655		
killing of cells of other organism	GO:0031640	17	17	0.73482965	2.87E-004	0.07285728	GO:0044364|disruption of cells of other organism, 	
disruption of cells of other organism	GO:0044364	17	17	0.73482965	2.87E-004	0.07285728	GO:0031640|killing of cells of other organism, 	
defense response to fungus	GO:0050832	18	18	0.72563054	3.43E-004	0.08256842		
somatic recombination of immunoglobulin gene segments	GO:0016447	23	22	0.70043745	4.60E-004	0.10563475		
regulation of chromatin silencing	GO:0031935	10	10	0.78655819	5.36E-004	0.11740307		
chromosomal part	GO:0044427	474	474	0.54257433	7.77E-004	0.16282371		
ribonucleoprotein complex export from nucleus	GO:0071426	58	57	0.6199806	8.29E-004	0.16644798		
somatic recombination of immunoglobulin genes involved in immune response	GO:0002204	15	15	0.7269849	9.22E-004	0.17764063	GO:0002208|somatic diversification of immunoglobulins involved in immune response, GO:0045190|isotype switching, 	
somatic diversification of immunoglobulins involved in immune response	GO:0002208	15	15	0.7269849	9.22E-004	0.17764063	GO:0002204|somatic recombination of immunoglobulin genes involved in immune response, GO:0045190|isotype switching, 	
isotype switching	GO:0045190	15	15	0.7269849	9.22E-004	0.17764063	GO:0002208|somatic diversification of immunoglobulins involved in immune response, GO:0002204|somatic recombination of immunoglobulin genes involved in immune response, 	
ribonucleoprotein complex localization	GO:0071166	60	59	0.61676874	9.26E-004	0.17165194		
negative regulation of interleukin-10 production	GO:0032693	11	11	0.76212397	9.41E-004	0.16784065		
RNA-dependent DNA replication	GO:0006278	11	11	0.76175967	9.56E-004	0.16448902		
RNA export from nucleus	GO:0006405	59	58	0.61691971	9.99E-004	0.16598013		
RNA splicing, via transesterification reactions	GO:0000375	154	151	0.57290567	1.00E-003	0.16122649		
binding of sperm to zona pellucida	GO:0007339	27	27	0.66978985	1.01E-003	0.15613827		
RNA splicing	GO:0008380	251	247	0.55689239	1.06E-003	0.15901149		
single fertilization	GO:0007338	79	79	0.59947575	1.12E-003	0.16408115		
sperm-egg recognition	GO:0035036	34	34	0.64733511	1.37E-003	0.19380002		
mRNA export from nucleus	GO:0006406	54	53	0.61804627	1.43E-003	0.19617742	GO:0071427|mRNA-containing ribonucleoprotein complex export from nucleus, 	
mRNA-containing ribonucleoprotein complex export from nucleus	GO:0071427	54	53	0.61804627	1.43E-003	0.19617742	GO:0006406|mRNA export from nucleus, 	
response to external biotic stimulus	GO:0043207	493	491	0.53929079	1.49E-003	0.19889812	GO:0051707|response to other organism, 	
response to other organism	GO:0051707	493	491	0.53929079	1.49E-003	0.19889812	GO:0043207|response to external biotic stimulus, 	
nuclear export	GO:0051168	83	82	0.59424058	1.60E-003	0.20772946		
detection of chemical stimulus	GO:0009593	83	83	0.59354983	1.62E-003	0.20482796		
response to biotic stimulus	GO:0009607	507	505	0.53815073	1.73E-003	0.21349167		
nucleoplasm part	GO:0044451	496	492	0.53861763	1.74E-003	0.20907631		
detection of stimulus involved in sensory perception	GO:0050906	87	87	0.59068779	1.74E-003	0.20410003		
