GOID	pValCorr
GO:0048167	0.0014
GO:0007270	0.0039
GO:0048168	0.0062
GO:0045837	0.0063
GO:0035235	0.014
GO:0060078	0.018
GO:0006414	0.021
GO:0050806	0.023
GO:0050808	0.024
GO:0008344	0.026
GO:0060079	0.031
GO:0097090	0.034
GO:0051650	0.036
GO:0035249	0.036
GO:0050685	0.036
GO:0051648	0.039
GO:0045454	0.04
GO:0061001	0.04
GO:0050770	0.041
GO:1903313	0.041
GO:2000463	0.041
GO:0022900	0.042
GO:0042775	0.042
GO:0051899	0.043
GO:0007628	0.043
GO:0007416	0.043
GO:0022904	0.044
GO:0006626	0.045
GO:0021885	0.047
GO:0007015	0.048
GO:0097105	0.049
